word1	word2	pos	context1	context2	similarity
river	valley	N	The river is commonly found in nature.	The valley appeared suddenly.	0.16699999999999998
sun	sky	N	The sun is commonly found in nature.	The sky is commonly found in nature.	0.227
target	arrow	N	I saw a target yesterday at the park.	People often talk about the arrow.	0.325
chocolate	pie	N	The chocolate was very interesting to observe.	I saw a pie yesterday at the park.	0.227
circumstance	situation	N	The circumstance appeared suddenly.	The situation was very interesting to observe.	0.7849999999999999
opinion	choice	N	The opinion is commonly found in nature.	The choice was very interesting to observe.	0.5429999999999999
rhythm	melody	N	The rhythm appeared suddenly.	I saw a melody yesterday at the park.	0.612
gut	nerve	N	The gut is commonly found in nature.	The nerve was very interesting to observe.	0.493
day	dawn	N	The day is commonly found in nature.	The dawn is commonly found in nature.	0.5469999999999999
cattle	beef	N	I saw a cattle yesterday at the park.	I saw a beef yesterday at the park.	0.7030000000000001
doctor	professor	N	The doctor was very interesting to observe.	People often talk about the professor.	0.465
arm	vein	N	The arm appeared suddenly.	People often talk about the vein.	0.365
room	bath	N	The room is commonly found in nature.	The bath was very interesting to observe.	0.333
corporation	business	N	People often talk about the corporation.	People often talk about the business.	0.9019999999999999
fun	football	N	I saw a fun yesterday at the park.	The football was very interesting to observe.	0.197
hill	cliff	N	The hill was very interesting to observe.	The cliff appeared suddenly.	0.42800000000000005
bone	ankle	N	People often talk about the bone.	The ankle appeared suddenly.	0.382
apple	candy	N	People often talk about the apple.	I saw a candy yesterday at the park.	0.20800000000000002
helper	maid	N	I saw a helper yesterday at the park.	I saw a maid yesterday at the park.	0.558
leader	manager	N	People often talk about the leader.	The manager was very interesting to observe.	0.727
lemon	tea	N	The lemon is commonly found in nature.	The tea was very interesting to observe.	0.16
bee	ant	N	The bee is commonly found in nature.	I saw a ant yesterday at the park.	0.27799999999999997
basketball	baseball	N	The basketball was very interesting to observe.	The baseball is commonly found in nature.	0.492
rice	bean	N	People often talk about the rice.	People often talk about the bean.	0.272
bed	furniture	N	The bed appeared suddenly.	I saw a furniture yesterday at the park.	0.608
emotion	passion	N	The emotion was very interesting to observe.	I saw a passion yesterday at the park.	0.772
anarchy	chaos	N	The anarchy is commonly found in nature.	People often talk about the chaos.	0.7929999999999999
crime	violation	N	The crime is commonly found in nature.	I saw a violation yesterday at the park.	0.712
machine	engine	N	The machine appeared suddenly.	The engine was very interesting to observe.	0.558
beach	sea	N	I saw a beach yesterday at the park.	The sea was very interesting to observe.	0.46799999999999997
alley	bowl	N	The alley is commonly found in nature.	The bowl is commonly found in nature.	0.153
jar	bottle	N	The jar is commonly found in nature.	The bottle was very interesting to observe.	0.783
strength	capability	N	The strength is commonly found in nature.	People often talk about the capability.	0.528
seed	mustard	N	I saw a seed yesterday at the park.	I saw a mustard yesterday at the park.	0.348
guitar	drum	N	The guitar was very interesting to observe.	The drum is commonly found in nature.	0.378
opinion	idea	N	The opinion is commonly found in nature.	The idea is commonly found in nature.	0.5700000000000001
north	west	N	The north is commonly found in nature.	The west was very interesting to observe.	0.363
diet	salad	N	People often talk about the diet.	The salad was very interesting to observe.	0.298
mother	wife	N	The mother is commonly found in nature.	The wife is commonly found in nature.	0.302
dad	mother	N	The dad was very interesting to observe.	People often talk about the mother.	0.355
captain	sailor	N	The captain is commonly found in nature.	People often talk about the sailor.	0.5
meter	yard	N	The meter is commonly found in nature.	People often talk about the yard.	0.5599999999999999
beer	champagne	N	The beer is commonly found in nature.	The champagne was very interesting to observe.	0.445
motor	boat	N	I saw a motor yesterday at the park.	People often talk about the boat.	0.257
card	bridge	N	I saw a card yesterday at the park.	The bridge appeared suddenly.	0.197
science	psychology	N	The science was very interesting to observe.	The psychology appeared suddenly.	0.492
sinner	saint	N	The sinner appeared suddenly.	The saint appeared suddenly.	0.16
destruction	construction	N	The destruction appeared suddenly.	I saw a construction yesterday at the park.	0.098
crowd	bunch	N	The crowd appeared suddenly.	The bunch is commonly found in nature.	0.742
beach	reef	N	The beach is commonly found in nature.	I saw a reef yesterday at the park.	0.377
man	child	N	The man is commonly found in nature.	People often talk about the child.	0.413
bread	cheese	N	People often talk about the bread.	People often talk about the cheese.	0.195
champion	winner	N	People often talk about the champion.	The winner appeared suddenly.	0.873
celebration	ceremony	N	I saw a celebration yesterday at the park.	The ceremony appeared suddenly.	0.772
menu	order	N	The menu is commonly found in nature.	The order was very interesting to observe.	0.362
king	princess	N	The king was very interesting to observe.	The princess was very interesting to observe.	0.327
wealth	prestige	N	The wealth was very interesting to observe.	People often talk about the prestige.	0.607
endurance	strength	N	The endurance was very interesting to observe.	I saw a strength yesterday at the park.	0.658
danger	threat	N	The danger was very interesting to observe.	The threat appeared suddenly.	0.8779999999999999
god	priest	N	The god appeared suddenly.	The priest appeared suddenly.	0.45
men	fraternity	N	The men was very interesting to observe.	The fraternity is commonly found in nature.	0.313
buddy	companion	N	I saw a buddy yesterday at the park.	People often talk about the companion.	0.865
teacher	helper	N	The teacher is commonly found in nature.	The helper is commonly found in nature.	0.42800000000000005
body	stomach	N	People often talk about the body.	The stomach was very interesting to observe.	0.393
tongue	throat	N	The tongue is commonly found in nature.	People often talk about the throat.	0.31
house	carpet	N	The house is commonly found in nature.	The carpet appeared suddenly.	0.13799999999999998
intelligence	skill	N	People often talk about the intelligence.	The skill appeared suddenly.	0.5349999999999999
journey	conquest	N	The journey is commonly found in nature.	The conquest appeared suddenly.	0.472
god	prey	N	The god is commonly found in nature.	The prey was very interesting to observe.	0.123
brother	soul	N	The brother was very interesting to observe.	The soul is commonly found in nature.	0.097
adversary	opponent	N	The adversary is commonly found in nature.	The opponent appeared suddenly.	0.905
death	catastrophe	N	I saw a death yesterday at the park.	The catastrophe appeared suddenly.	0.413
monster	demon	N	I saw a monster yesterday at the park.	The demon appeared suddenly.	0.6950000000000001
day	morning	N	The day appeared suddenly.	I saw a morning yesterday at the park.	0.487
man	victor	N	The man is commonly found in nature.	I saw a victor yesterday at the park.	0.19
friend	guy	N	People often talk about the friend.	People often talk about the guy.	0.388
song	story	N	The song was very interesting to observe.	The story is commonly found in nature.	0.397
ray	sunshine	N	People often talk about the ray.	The sunshine is commonly found in nature.	0.683
guy	stud	N	The guy is commonly found in nature.	The stud was very interesting to observe.	0.583
chicken	rice	N	The chicken appeared suddenly.	I saw a rice yesterday at the park.	0.143
box	elevator	N	I saw a box yesterday at the park.	The elevator appeared suddenly.	0.132
butter	potato	N	People often talk about the butter.	People often talk about the potato.	0.122
apartment	furniture	N	The apartment is commonly found in nature.	The furniture is commonly found in nature.	0.128
lake	swamp	N	I saw a lake yesterday at the park.	The swamp was very interesting to observe.	0.492
salad	vinegar	N	The salad is commonly found in nature.	I saw a vinegar yesterday at the park.	0.11299999999999999
flower	bulb	N	The flower appeared suddenly.	People often talk about the bulb.	0.44800000000000006
cloud	mist	N	The cloud was very interesting to observe.	The mist appeared suddenly.	0.667
driver	pilot	N	People often talk about the driver.	I saw a pilot yesterday at the park.	0.628
sugar	honey	N	The sugar appeared suddenly.	The honey was very interesting to observe.	0.513
body	shoulder	N	People often talk about the body.	I saw a shoulder yesterday at the park.	0.288
idea	image	N	The idea appeared suddenly.	I saw a image yesterday at the park.	0.355
father	brother	N	People often talk about the father.	The brother appeared suddenly.	0.42000000000000004
moon	planet	N	I saw a moon yesterday at the park.	The planet appeared suddenly.	0.587
ball	costume	N	The ball appeared suddenly.	The costume is commonly found in nature.	0.23199999999999998
rail	fence	N	The rail is commonly found in nature.	The fence is commonly found in nature.	0.522
room	bed	N	People often talk about the room.	The bed is commonly found in nature.	0.23500000000000001
flower	bush	N	The flower is commonly found in nature.	The bush was very interesting to observe.	0.425
bone	knee	N	The bone is commonly found in nature.	People often talk about the knee.	0.417
arm	knee	N	The arm is commonly found in nature.	People often talk about the knee.	0.275
bottom	side	N	The bottom is commonly found in nature.	The side appeared suddenly.	0.263
vessel	vein	N	People often talk about the vessel.	The vein is commonly found in nature.	0.515
cat	rabbit	N	I saw a cat yesterday at the park.	People often talk about the rabbit.	0.23700000000000002
meat	sandwich	N	The meat is commonly found in nature.	The sandwich is commonly found in nature.	0.23500000000000001
belief	concept	N	The belief was very interesting to observe.	The concept is commonly found in nature.	0.508
intelligence	insight	N	I saw a intelligence yesterday at the park.	The insight was very interesting to observe.	0.5900000000000001
attention	interest	N	I saw a attention yesterday at the park.	The interest appeared suddenly.	0.722
attitude	confidence	N	The attitude was very interesting to observe.	The confidence appeared suddenly.	0.43499999999999994
right	justice	N	The right is commonly found in nature.	I saw a justice yesterday at the park.	0.705
argument	agreement	N	The argument was very interesting to observe.	The agreement was very interesting to observe.	0.145
depth	magnitude	N	The depth appeared suddenly.	People often talk about the magnitude.	0.612
medium	news	N	I saw a medium yesterday at the park.	I saw a news yesterday at the park.	0.365
winner	candidate	N	The winner was very interesting to observe.	The candidate appeared suddenly.	0.27799999999999997
birthday	date	N	The birthday was very interesting to observe.	People often talk about the date.	0.508
fee	payment	N	I saw a fee yesterday at the park.	I saw a payment yesterday at the park.	0.7150000000000001
bible	hymn	N	People often talk about the bible.	The hymn is commonly found in nature.	0.515
exit	doorway	N	The exit appeared suddenly.	I saw a doorway yesterday at the park.	0.55
man	sentry	N	People often talk about the man.	I saw a sentry yesterday at the park.	0.325
aisle	hall	N	People often talk about the aisle.	The hall appeared suddenly.	0.635
whiskey	gin	N	People often talk about the whiskey.	I saw a gin yesterday at the park.	0.628
blood	marrow	N	The blood was very interesting to observe.	I saw a marrow yesterday at the park.	0.33999999999999997
oil	mink	N	People often talk about the oil.	People often talk about the mink.	0.123
floor	deck	N	People often talk about the floor.	The deck is commonly found in nature.	0.5549999999999999
roof	floor	N	The roof appeared suddenly.	The floor was very interesting to observe.	0.262
door	floor	N	I saw a door yesterday at the park.	I saw a floor yesterday at the park.	0.16699999999999998
shoulder	head	N	The shoulder was very interesting to observe.	The head appeared suddenly.	0.34199999999999997
wagon	carriage	N	The wagon appeared suddenly.	I saw a carriage yesterday at the park.	0.77
car	carriage	N	The car is commonly found in nature.	The carriage appeared suddenly.	0.513
elbow	ankle	N	I saw a elbow yesterday at the park.	The ankle appeared suddenly.	0.313
wealth	fame	N	I saw a wealth yesterday at the park.	The fame is commonly found in nature.	0.40199999999999997
sorrow	shame	N	The sorrow is commonly found in nature.	The shame is commonly found in nature.	0.477
administration	management	N	People often talk about the administration.	The management appeared suddenly.	0.725
communication	conversation	N	The communication is commonly found in nature.	The conversation appeared suddenly.	0.8019999999999999
pollution	atmosphere	N	People often talk about the pollution.	The atmosphere appeared suddenly.	0.425
anatomy	biology	N	I saw a anatomy yesterday at the park.	The biology was very interesting to observe.	0.533
college	profession	N	The college was very interesting to observe.	The profession is commonly found in nature.	0.312
book	topic	N	I saw a book yesterday at the park.	The topic was very interesting to observe.	0.207
formula	equation	N	The formula is commonly found in nature.	The equation appeared suddenly.	0.795
book	information	N	I saw a book yesterday at the park.	The information was very interesting to observe.	0.5
boy	partner	N	I saw a boy yesterday at the park.	The partner appeared suddenly.	0.19
sky	universe	N	The sky appeared suddenly.	The universe was very interesting to observe.	0.46799999999999997
population	people	N	The population was very interesting to observe.	I saw a people yesterday at the park.	0.768
college	class	N	I saw a college yesterday at the park.	The class is commonly found in nature.	0.413
chief	mayor	N	The chief appeared suddenly.	People often talk about the mayor.	0.485
rabbi	minister	N	I saw a rabbi yesterday at the park.	The minister is commonly found in nature.	0.762
meter	inch	N	The meter was very interesting to observe.	People often talk about the inch.	0.508
polyester	cotton	N	I saw a polyester yesterday at the park.	The cotton appeared suddenly.	0.563
lawyer	banker	N	The lawyer was very interesting to observe.	The banker is commonly found in nature.	0.188
violin	instrument	N	The violin is commonly found in nature.	The instrument appeared suddenly.	0.658
camp	cabin	N	I saw a camp yesterday at the park.	The cabin appeared suddenly.	0.42000000000000004
pot	appliance	N	I saw a pot yesterday at the park.	The appliance is commonly found in nature.	0.253
linen	fabric	N	The linen appeared suddenly.	The fabric appeared suddenly.	0.747
whiskey	champagne	N	The whiskey appeared suddenly.	People often talk about the champagne.	0.533
girl	child	N	I saw a girl yesterday at the park.	The child appeared suddenly.	0.538
cottage	cabin	N	The cottage was very interesting to observe.	The cabin is commonly found in nature.	0.772
bird	hen	N	I saw a bird yesterday at the park.	I saw a hen yesterday at the park.	0.7030000000000001
racket	noise	N	People often talk about the racket.	I saw a noise yesterday at the park.	0.8099999999999999
sunset	evening	N	People often talk about the sunset.	The evening appeared suddenly.	0.5980000000000001
drizzle	rain	N	The drizzle appeared suddenly.	I saw a rain yesterday at the park.	0.917
adult	baby	N	The adult was very interesting to observe.	The baby is commonly found in nature.	0.22200000000000003
charcoal	coal	N	People often talk about the charcoal.	The coal was very interesting to observe.	0.763
body	spine	N	The body is commonly found in nature.	The spine appeared suddenly.	0.47800000000000004
head	nail	N	The head was very interesting to observe.	The nail was very interesting to observe.	0.24700000000000003
log	timber	N	I saw a log yesterday at the park.	I saw a timber yesterday at the park.	0.805
spoon	cup	N	The spoon appeared suddenly.	The cup was very interesting to observe.	0.202
body	nerve	N	People often talk about the body.	The nerve was very interesting to observe.	0.313
man	husband	N	The man was very interesting to observe.	The husband appeared suddenly.	0.532
bone	neck	N	People often talk about the bone.	People often talk about the neck.	0.253
frustration	anger	N	The frustration appeared suddenly.	The anger was very interesting to observe.	0.65
river	sea	N	The river appeared suddenly.	The sea appeared suddenly.	0.572
task	job	N	I saw a task yesterday at the park.	The job appeared suddenly.	0.8869999999999999
club	society	N	The club appeared suddenly.	People often talk about the society.	0.523
reflection	image	N	People often talk about the reflection.	The image was very interesting to observe.	0.727
prince	king	N	The prince is commonly found in nature.	The king was very interesting to observe.	0.592
snow	weather	N	The snow was very interesting to observe.	I saw a weather yesterday at the park.	0.548
people	party	N	I saw a people yesterday at the park.	People often talk about the party.	0.22000000000000003
boy	brother	N	The boy appeared suddenly.	People often talk about the brother.	0.667
root	grass	N	The root appeared suddenly.	The grass appeared suddenly.	0.355
brow	eye	N	People often talk about the brow.	I saw a eye yesterday at the park.	0.382
money	pearl	N	The money appeared suddenly.	People often talk about the pearl.	0.21000000000000002
money	diamond	N	The money is commonly found in nature.	The diamond was very interesting to observe.	0.34199999999999997
vehicle	bus	N	The vehicle is commonly found in nature.	I saw a bus yesterday at the park.	0.647
cab	bus	N	People often talk about the cab.	The bus was very interesting to observe.	0.5599999999999999
house	barn	N	The house was very interesting to observe.	The barn is commonly found in nature.	0.433
finger	palm	N	The finger appeared suddenly.	The palm was very interesting to observe.	0.333
car	bridge	N	The car is commonly found in nature.	I saw a bridge yesterday at the park.	0.095
effort	difficulty	N	The effort is commonly found in nature.	The difficulty appeared suddenly.	0.445
fact	insight	N	I saw a fact yesterday at the park.	I saw a insight yesterday at the park.	0.477
job	management	N	People often talk about the job.	The management is commonly found in nature.	0.397
cancer	sickness	N	I saw a cancer yesterday at the park.	People often talk about the sickness.	0.7929999999999999
word	newspaper	N	The word is commonly found in nature.	The newspaper appeared suddenly.	0.24700000000000003
composer	writer	N	People often talk about the composer.	People often talk about the writer.	0.658
actor	singer	N	The actor is commonly found in nature.	The singer was very interesting to observe.	0.45199999999999996
shelter	hut	N	The shelter was very interesting to observe.	The hut is commonly found in nature.	0.647
bathroom	kitchen	N	I saw a bathroom yesterday at the park.	The kitchen was very interesting to observe.	0.31
cabin	hut	N	The cabin was very interesting to observe.	The hut appeared suddenly.	0.653
door	kitchen	N	People often talk about the door.	The kitchen appeared suddenly.	0.16699999999999998
value	belief	N	The value appeared suddenly.	I saw a belief yesterday at the park.	0.7070000000000001
wisdom	intelligence	N	The wisdom was very interesting to observe.	The intelligence was very interesting to observe.	0.747
ignorance	intelligence	N	I saw a ignorance yesterday at the park.	I saw a intelligence yesterday at the park.	0.15
happiness	luck	N	I saw a happiness yesterday at the park.	People often talk about the luck.	0.238
idea	scheme	N	The idea is commonly found in nature.	I saw a scheme yesterday at the park.	0.675
mood	emotion	N	People often talk about the mood.	The emotion appeared suddenly.	0.8119999999999999
happiness	peace	N	I saw a happiness yesterday at the park.	The peace appeared suddenly.	0.603
despair	misery	N	The despair was very interesting to observe.	The misery was very interesting to observe.	0.722
logic	arithmetic	N	I saw a logic yesterday at the park.	I saw a arithmetic yesterday at the park.	0.397
denial	confession	N	I saw a denial yesterday at the park.	The confession was very interesting to observe.	0.10300000000000001
argument	criticism	N	The argument was very interesting to observe.	The criticism was very interesting to observe.	0.508
aggression	hostility	N	The aggression was very interesting to observe.	People often talk about the hostility.	0.8480000000000001
hysteria	confusion	N	I saw a hysteria yesterday at the park.	People often talk about the confusion.	0.633
chemistry	theory	N	People often talk about the chemistry.	The theory is commonly found in nature.	0.317
trial	verdict	N	The trial is commonly found in nature.	The verdict appeared suddenly.	0.333
comfort	safety	N	The comfort was very interesting to observe.	The safety was very interesting to observe.	0.58
confidence	self	N	The confidence was very interesting to observe.	The self was very interesting to observe.	0.312
vision	perception	N	I saw a vision yesterday at the park.	People often talk about the perception.	0.688
era	decade	N	I saw a era yesterday at the park.	The decade appeared suddenly.	0.54
biography	fiction	N	I saw a biography yesterday at the park.	The fiction appeared suddenly.	0.13799999999999998
discussion	argument	N	People often talk about the discussion.	The argument is commonly found in nature.	0.548
code	symbol	N	People often talk about the code.	People often talk about the symbol.	0.603
danger	disease	N	I saw a danger yesterday at the park.	I saw a disease yesterday at the park.	0.3
accident	catastrophe	N	The accident is commonly found in nature.	I saw a catastrophe yesterday at the park.	0.5900000000000001
journey	trip	N	The journey was very interesting to observe.	The trip was very interesting to observe.	0.8880000000000001
activity	movement	N	The activity is commonly found in nature.	The movement was very interesting to observe.	0.7150000000000001
gossip	news	N	The gossip is commonly found in nature.	The news is commonly found in nature.	0.522
father	god	N	The father is commonly found in nature.	The god appeared suddenly.	0.357
action	course	N	I saw a action yesterday at the park.	People often talk about the course.	0.545
fever	illness	N	The fever appeared suddenly.	The illness appeared suddenly.	0.765
aviation	flight	N	The aviation was very interesting to observe.	The flight is commonly found in nature.	0.818
game	action	N	I saw a game yesterday at the park.	People often talk about the action.	0.485
molecule	air	N	The molecule is commonly found in nature.	People often talk about the air.	0.305
home	state	N	The home was very interesting to observe.	The state is commonly found in nature.	0.258
word	literature	N	People often talk about the word.	The literature appeared suddenly.	0.477
adult	guardian	N	People often talk about the adult.	The guardian was very interesting to observe.	0.6900000000000001
newspaper	information	N	People often talk about the newspaper.	The information is commonly found in nature.	0.5650000000000001
communication	television	N	The communication is commonly found in nature.	The television was very interesting to observe.	0.5599999999999999
cousin	uncle	N	I saw a cousin yesterday at the park.	People often talk about the uncle.	0.46299999999999997
author	reader	N	The author was very interesting to observe.	I saw a reader yesterday at the park.	0.16
guy	partner	N	I saw a guy yesterday at the park.	The partner was very interesting to observe.	0.357
area	corner	N	The area is commonly found in nature.	The corner appeared suddenly.	0.207
ballad	song	N	The ballad appeared suddenly.	The song was very interesting to observe.	0.753
wall	decoration	N	I saw a wall yesterday at the park.	The decoration is commonly found in nature.	0.262
word	page	N	People often talk about the word.	I saw a page yesterday at the park.	0.292
nurse	scientist	N	The nurse is commonly found in nature.	The scientist was very interesting to observe.	0.20800000000000002
politician	president	N	People often talk about the politician.	The president is commonly found in nature.	0.738
president	mayor	N	The president is commonly found in nature.	The mayor appeared suddenly.	0.568
book	essay	N	People often talk about the book.	The essay appeared suddenly.	0.472
man	warrior	N	I saw a man yesterday at the park.	People often talk about the warrior.	0.472
article	journal	N	The article was very interesting to observe.	The journal is commonly found in nature.	0.618
breakfast	supper	N	The breakfast appeared suddenly.	The supper was very interesting to observe.	0.44000000000000006
crowd	parade	N	People often talk about the crowd.	The parade appeared suddenly.	0.393
aisle	hallway	N	The aisle was very interesting to observe.	The hallway was very interesting to observe.	0.675
teacher	rabbi	N	The teacher was very interesting to observe.	The rabbi appeared suddenly.	0.437
hip	lip	N	People often talk about the hip.	I saw a lip yesterday at the park.	0.143
book	article	N	The book was very interesting to observe.	The article appeared suddenly.	0.5429999999999999
room	cell	N	The room was very interesting to observe.	The cell is commonly found in nature.	0.458
box	booth	N	The box appeared suddenly.	The booth appeared suddenly.	0.38
daughter	kid	N	I saw a daughter yesterday at the park.	The kid was very interesting to observe.	0.417
limb	leg	N	People often talk about the limb.	I saw a leg yesterday at the park.	0.6900000000000001
liver	lung	N	People often talk about the liver.	The lung was very interesting to observe.	0.27
classroom	hallway	N	The classroom was very interesting to observe.	I saw a hallway yesterday at the park.	0.2
mountain	ledge	N	The mountain is commonly found in nature.	The ledge is commonly found in nature.	0.373
car	elevator	N	I saw a car yesterday at the park.	People often talk about the elevator.	0.10300000000000001
bed	couch	N	The bed is commonly found in nature.	People often talk about the couch.	0.34199999999999997
clothes	button	N	People often talk about the clothes.	The button is commonly found in nature.	0.22999999999999998
clothes	coat	N	People often talk about the clothes.	The coat was very interesting to observe.	0.5349999999999999
kidney	organ	N	The kidney appeared suddenly.	The organ is commonly found in nature.	0.617
apple	sauce	N	I saw a apple yesterday at the park.	The sauce appeared suddenly.	0.143
chicken	steak	N	The chicken is commonly found in nature.	The steak is commonly found in nature.	0.373
car	hose	N	The car was very interesting to observe.	The hose was very interesting to observe.	0.087
tobacco	cigarette	N	The tobacco was very interesting to observe.	I saw a cigarette yesterday at the park.	0.75
student	professor	N	The student was very interesting to observe.	The professor appeared suddenly.	0.195
baby	daughter	N	People often talk about the baby.	I saw a daughter yesterday at the park.	0.5
pipe	cigar	N	The pipe was very interesting to observe.	The cigar is commonly found in nature.	0.603
milk	juice	N	The milk is commonly found in nature.	People often talk about the juice.	0.40499999999999997
box	cigar	N	I saw a box yesterday at the park.	The cigar is commonly found in nature.	0.125
apartment	hotel	N	People often talk about the apartment.	People often talk about the hotel.	0.333
cup	cone	N	People often talk about the cup.	The cone is commonly found in nature.	0.317
horse	ox	N	The horse was very interesting to observe.	The ox was very interesting to observe.	0.302
throat	nose	N	The throat was very interesting to observe.	The nose appeared suddenly.	0.27999999999999997
bone	teeth	N	The bone was very interesting to observe.	The teeth was very interesting to observe.	0.417
bone	elbow	N	The bone appeared suddenly.	I saw a elbow yesterday at the park.	0.378
bacon	bean	N	I saw a bacon yesterday at the park.	The bean appeared suddenly.	0.122
cup	jar	N	People often talk about the cup.	People often talk about the jar.	0.513
proof	fact	N	The proof is commonly found in nature.	The fact is commonly found in nature.	0.73
appointment	engagement	N	The appointment is commonly found in nature.	The engagement is commonly found in nature.	0.675
birthday	year	N	People often talk about the birthday.	The year is commonly found in nature.	0.16699999999999998
word	clue	N	I saw a word yesterday at the park.	People often talk about the clue.	0.253
author	creator	N	The author was very interesting to observe.	The creator was very interesting to observe.	0.8019999999999999
atom	carbon	N	The atom was very interesting to observe.	The carbon was very interesting to observe.	0.31
archbishop	bishop	N	The archbishop was very interesting to observe.	I saw a bishop yesterday at the park.	0.705
letter	paragraph	N	People often talk about the letter.	The paragraph is commonly found in nature.	0.4
page	paragraph	N	The page appeared suddenly.	The paragraph is commonly found in nature.	0.303
steeple	chapel	N	People often talk about the steeple.	I saw a chapel yesterday at the park.	0.708
muscle	bone	N	The muscle is commonly found in nature.	The bone appeared suddenly.	0.365
muscle	tongue	N	The muscle is commonly found in nature.	The tongue is commonly found in nature.	0.5
boy	soldier	N	I saw a boy yesterday at the park.	The soldier was very interesting to observe.	0.215
belly	abdomen	N	The belly appeared suddenly.	People often talk about the abdomen.	0.8130000000000001
guy	girl	N	People often talk about the guy.	The girl appeared suddenly.	0.333
bed	chair	N	The bed is commonly found in nature.	I saw a chair yesterday at the park.	0.35
clothes	jacket	N	The clothes is commonly found in nature.	The jacket was very interesting to observe.	0.515
gun	knife	N	People often talk about the gun.	The knife appeared suddenly.	0.365
tin	metal	N	People often talk about the tin.	People often talk about the metal.	0.563
bottle	container	N	The bottle was very interesting to observe.	The container was very interesting to observe.	0.7929999999999999
hen	turkey	N	The hen was very interesting to observe.	People often talk about the turkey.	0.613
meat	bread	N	The meat was very interesting to observe.	The bread appeared suddenly.	0.16699999999999998
arm	bone	N	The arm is commonly found in nature.	People often talk about the bone.	0.383
neck	spine	N	People often talk about the neck.	People often talk about the spine.	0.532
apple	lemon	N	The apple was very interesting to observe.	The lemon appeared suddenly.	0.40499999999999997
agony	grief	N	The agony appeared suddenly.	I saw a grief yesterday at the park.	0.763
assignment	task	N	I saw a assignment yesterday at the park.	People often talk about the task.	0.8699999999999999
night	dawn	N	The night was very interesting to observe.	People often talk about the dawn.	0.29500000000000004
dinner	soup	N	The dinner is commonly found in nature.	The soup appeared suddenly.	0.372
calf	bull	N	People often talk about the calf.	I saw a bull yesterday at the park.	0.493
snow	storm	N	The snow appeared suddenly.	The storm is commonly found in nature.	0.48
nail	hand	N	I saw a nail yesterday at the park.	People often talk about the hand.	0.34199999999999997
dog	horse	N	The dog was very interesting to observe.	The horse was very interesting to observe.	0.238
arm	neck	N	I saw a arm yesterday at the park.	I saw a neck yesterday at the park.	0.158
ball	glove	N	The ball was very interesting to observe.	People often talk about the glove.	0.175
flu	fever	N	The flu appeared suddenly.	The fever is commonly found in nature.	0.608
fee	salary	N	The fee is commonly found in nature.	I saw a salary yesterday at the park.	0.372
nerve	brain	N	The nerve was very interesting to observe.	The brain appeared suddenly.	0.388
beast	animal	N	The beast appeared suddenly.	People often talk about the animal.	0.783
dinner	chicken	N	I saw a dinner yesterday at the park.	The chicken is commonly found in nature.	0.28500000000000003
girl	maid	N	People often talk about the girl.	The maid was very interesting to observe.	0.29300000000000004
child	boy	N	People often talk about the child.	The boy was very interesting to observe.	0.575
alcohol	wine	N	People often talk about the alcohol.	People often talk about the wine.	0.742
nose	mouth	N	The nose appeared suddenly.	The mouth appeared suddenly.	0.373
street	car	N	The street appeared suddenly.	The car appeared suddenly.	0.238
bell	door	N	The bell was very interesting to observe.	The door appeared suddenly.	0.22000000000000003
box	hat	N	The box is commonly found in nature.	I saw a hat yesterday at the park.	0.13
belief	impression	N	I saw a belief yesterday at the park.	People often talk about the impression.	0.595
bias	opinion	N	The bias is commonly found in nature.	The opinion appeared suddenly.	0.5599999999999999
attention	awareness	N	I saw a attention yesterday at the park.	The awareness is commonly found in nature.	0.873
anger	mood	N	The anger was very interesting to observe.	The mood was very interesting to observe.	0.41
elegance	style	N	The elegance appeared suddenly.	People often talk about the style.	0.572
beauty	age	N	I saw a beauty yesterday at the park.	People often talk about the age.	0.158
book	theme	N	The book appeared suddenly.	People often talk about the theme.	0.258
friend	mother	N	I saw a friend yesterday at the park.	The mother appeared suddenly.	0.253
vitamin	iron	N	The vitamin appeared suddenly.	The iron appeared suddenly.	0.5549999999999999
car	factory	N	I saw a car yesterday at the park.	I saw a factory yesterday at the park.	0.275
pact	condition	N	The pact appeared suddenly.	The condition was very interesting to observe.	0.24500000000000002
chapter	choice	N	I saw a chapter yesterday at the park.	The choice was very interesting to observe.	0.048
arithmetic	rhythm	N	The arithmetic is commonly found in nature.	The rhythm is commonly found in nature.	0.23500000000000001
winner	presence	N	The winner appeared suddenly.	People often talk about the presence.	0.10800000000000001
belief	flower	N	I saw a belief yesterday at the park.	I saw a flower yesterday at the park.	0.04
winner	goal	N	I saw a winner yesterday at the park.	I saw a goal yesterday at the park.	0.323
trick	size	N	The trick was very interesting to observe.	The size appeared suddenly.	0.048
choice	vein	N	The choice was very interesting to observe.	The vein appeared suddenly.	0.098
hymn	conquest	N	The hymn is commonly found in nature.	The conquest is commonly found in nature.	0.068
endurance	band	N	The endurance is commonly found in nature.	I saw a band yesterday at the park.	0.04
jail	choice	N	I saw a jail yesterday at the park.	People often talk about the choice.	0.10800000000000001
condition	boy	N	I saw a condition yesterday at the park.	I saw a boy yesterday at the park.	0.048
flower	endurance	N	The flower was very interesting to observe.	The endurance is commonly found in nature.	0.04
hole	agreement	N	The hole was very interesting to observe.	The agreement is commonly found in nature.	0.03
doctor	temper	N	I saw a doctor yesterday at the park.	People often talk about the temper.	0.048
